deep_id,author_id,uncertain
1166,221,false
1167,219,false
1168,222,false
1169,222,false
1170,127,false
1171,0,false
1172,196,false
1173,74,false
1173,86,false
1174,0,false
1175,205,false
1176,165,false
1176,223,false
1177,224,false
1177,200,false
1178,138,false
1179,123,false
1179,124,false
1180,201,false
1181,165,false
1181,223,false
1182,0,false
1183,192,false
1183,225,false
1184,226,false
1185,226,false
1186,227,false
1187,227,false
1188,227,false
1189,227,false
1190,227,false
1191,227,false
1192,228,false
1193,229,false
1194,229,false
1195,229,false
1196,229,false
1197,229,false
1198,230,false
1199,231,false
1200,232,false
1201,232,false
1202,139,false
1203,233,false
1204,233,false
1205,234,false
1206,157,false
1207,140,false
1208,235,false
1209,235,false
1210,180,false
1211,180,false
1212,90,false
1212,184,false
1213,90,false
1213,184,false
5000,236,false
5000.01,236,false
5000.02,236,false
5001,1,true
5001.01,1,true
5001.02,1,true
5002,236,false
5002.01,236,false
5002.02,236,false
5003,0,false
5003.01,0,false
5004,0,false
5004.01,0,false
5005,11,false
5005.01,11,false
5005.01,12,false
5006,29,false
5006.01,29,false
5006.01,237,false
5006.02,29,false
5006.02,238,false
5006.02,239,false
5006.02,240,false
5006.02,241,false
5006.03,29,false
5007,29,false
5007.01,29,false
5007.02,29,false
5007.02,237,false
5007.03,29,false
5007.03,238,false
5007.03,239,false
5007.03,240,false
5007.03,241,false
5008,29,false
5009,29,false
5009.01,29,false
5009.02,29,false
5009.02,237,false
5009.03,29,false
5009.03,238,false
5009.03,239,false
5009.03,240,false
5009.03,241,false
5009.04,29,false
5010,29,false
5011,34,false
5011.01,34,false
5011.01,242,false
5012,34,false
5013,34,false
5013.01,34,false
5013.01,242,false
5014,243,false
5014.01,243,false
5014.02,243,false
5015,14,false
5015,7,false
5015.01,6,false
5015.01,7,false
5015.02,6,false
5015.02,7,false
5015.03,244,false
5015.03,7,false
5015.04,14,false
5015.04,7,false
5015.05,8,false
5015.05,7,false
5015.06,6,false
5015.06,7,false
5015.07,14,false
5015.07,7,false
5015.08,14,false
5015.08,7,false
5015.09,16,false
5015.09,7,false
5015.10,14,false
5015.10,7,false
5016,245,false
5016,11,false
5016,12,false
5016.01,11,false
5016.01,12,false
5017,47,false
5017.01,47,false
5017.02,47,false
5018,47,false
5018.01,47,false
5018.02,47,false
5019,47,false
5019.01,47,false
5019.02,47,false
5020,246,false
5020.01,246,false
5020.01,124,false
5021,0,false
5021.01,0,false
5021.02,0,false
5022,0,false
5022.01,0,false
5022.02,0,false
5023,0,false
5023.01,0,false
5023.02,0,false
5024,54,false
5024,55,false
5024,247,false
5024.01,54,false
5024.01,55,false
5025,226,false
5025.01,226,false
5025.02,226,false
5026,0,false
5026.01,0,false
5026.02,0,false
5026.03,0,false
5027,61,false
5027.01,61,false
5028,61,false
5028.01,61,false
5029,61,false
5029.01,61,false
5030,248,false
5030.01,248,false
5031,248,false
5031.01,248,false
5032,248,false
5032.01,248,false
5033,248,false
5034,248,false
5034.01,248,false
5035,248,false
5036,248,false
5036,79,false
5036.01,248,false
5037,248,false
5038,248,false
5039,248,false
5040,248,false
5041,248,false
5041,79,false
5041.01,248,false
5042,248,false
5042,79,false
5042,249,false
5043,248,false
5043,79,false
5043,249,false
5044,248,false
5044,79,false
5044,249,false
5044.01,248,false
5045,248,false
5045,79,false
5045,249,false
5045,250,false
5045.01,248,false
5046,248,false
5046.01,248,false
5047,61,false
5047.01,61,false
5048,78,false
5048.01,78,false
5048.02,78,false
5049,78,false
5049.01,78,false
5049.02,78,false
5050,78,false
5050.01,78,false
5050.02,78,false
5051,78,false
5051.01,78,false
5051.02,78,false
5052,78,false
5052.01,78,false
5052.02,78,false
5053,78,false
5053.01,78,false
5053.02,78,false
5054,61,false
5054.01,61,false
5055,61,false
5056,251,false
5056.01,251,false
5056.02,251,false
5057,251,false
5058,251,false
5059,69,false
5059.01,69,false
5059.02,69,false
5060,79,false
5060.01,79,false
5060.02,79,false
5061,79,false
5061.01,79,false
5061.02,79,false
5061.03,79,false
5062,79,false
5062.01,79,false
5062.02,79,false
5062.03,79,false
5062.04,79,false
5063,61,false
5063.01,61,false
5063.02,61,false
5064,61,false
5064.01,61,false
5064.02,61,false
5064.03,61,false
5064.04,61,false
5065,61,false
5065.01,61,false
5065.02,61,false
5065.03,61,false
5065.04,61,false
5065.05,61,false
5066,61,false
5067,61,false
5067.01,61,false
5068,69,false
5068.01,69,false
5068.02,69,false
5068.03,69,false
5069,65,false
5069.01,65,false
